,index,count
399,31 16,0
400,31 15,0
401,19 20,0
402,19 26,0
403,26 22,0
404,22 03,0
405,25 10,0
406,28 03,0
407,28 02,0
408,25 05,0
409,28 00,0
410,25 06,0
411,25 07,0
412,27 30,0
413,25 09,0
414,27 29,0
415,29 11,0
416,25 11,0
417,27 28,0
418,27 27,0
419,25 13,0
420,25 14,0
421,25 15,0
422,25 16,0
423,27 25,0
424,17 29,0
425,28 04,0
426,25 03,0
427,25 02,0
428,24 15,0
429,28 15,0
430,24 16,0
431,28 14,0
432,24 18,0
433,24 19,0
434,28 13,0
435,28 12,0
436,24 22,0
437,24 24,0
438,24 25,0
439,24 27,0
440,28 09,0
441,28 08,0
442,28 07,0
443,28 06,0
444,25 01,0
445,25 18,0
446,27 22,0
447,27 21,0
448,27 12,0
449,27 09,0
450,26 07,0
451,26 09,0
452,27 06,0
453,26 10,0
454,26 11,0
455,27 02,0
456,27 01,0
457,27 00,0
458,26 15,0
459,26 16,0
460,26 29,0
461,26 28,0
462,26 18,0
463,26 19,0
464,26 27,0
465,26 26,0
466,27 11,0
467,26 03,0
468,25 20,0
469,27 13,0
470,25 21,0
471,25 22,0
472,25 23,0
473,27 20,0
474,25 25,0
475,27 19,0
476,27 18,0
477,25 27,0
478,25 28,0
479,25 29,0
480,25 30,0
481,27 17,0
482,26 00,0
483,27 16,0
484,27 15,0
485,26 02,0
486,27 14,0
487,24 14,0
488,24 13,0
489,28 16,0
490,22 19,0
491,22 21,0
492,22 22,0
493,22 23,0
494,22 24,0
495,22 25,0
496,22 26,0
497,22 27,0
498,22 28,0
499,22 29,0
500,22 30,0
501,22 31,0
502,23 00,0
503,23 01,0
504,23 02,0
505,23 03,0
506,23 04,0
507,23 05,0
508,22 20,0
509,29 06,0
510,23 07,0
511,22 18,0
512,22 04,0
513,22 05,0
514,22 06,0
515,22 07,0
516,29 09,0
517,22 08,0
518,22 09,0
519,22 10,0
520,29 08,0
521,22 11,0
522,22 12,0
523,26 21,0
524,22 13,0
525,22 14,0
526,22 15,0
527,22 16,0
528,22 17,0
529,23 06,0
530,23 08,0
531,24 11,0
532,23 27,0
533,23 28,0
534,23 29,0
535,28 23,0
536,28 22,0
537,23 30,0
538,23 31,0
539,24 00,0
540,24 01,0
541,28 20,0
542,24 02,0
543,24 03,0
544,24 04,0
545,28 19,0
546,24 05,0
547,24 06,0
548,24 07,0
