,index,count
319,24 26 01,1
320,12 26 23,1
321,31 21 26,1
322,17 07 21,1
323,04 00 27,1
324,30 01 31,1
325,17 30 27,1
326,15 26 05,1
327,04 10 27,1
328,12 05 25,1
329,27 23 26,1
330,21 25 12,1
331,13 27 31,1
332,25 24 21,1
333,31 28 01,1
334,20 01 30,1
335,29 20 12,1
336,20 06 28,1
337,08 12 21,1
338,15 30 29,1
339,20 08 27,1
340,19 31 28,1
341,26 05 25,1
342,08 05 23,1
343,04 13 27,1
344,21 25 19,1
345,21 26 25,1
346,29 26 05,1
347,17 30 10,1
348,20 08 21,1
349,13 29 31,1
350,20 04 30,1
351,27 26 08,1
352,31 27 23,1
353,18 08 31,1
354,21 30 28,1
355,29 31 28,1
356,29 28 05,1
357,04 01 31,1
358,20 10 26,1
359,15 30 10,1
360,21 24 20,1
361,21 31 21,1
362,29 25 00,1
363,11 29 10,1
364,08 12 05,1
365,21 31 27,1
366,30 01 12,1
367,21 24 08,1
368,08 01 15,1
369,01 31 13,1
370,07 29 12,1
371,31 29 05,1
372,21 24 12,1
373,26 04 30,1
374,01 31 21,1
375,20 01 12,1
376,08 07 29,1
377,10 11 18,1
378,23 26 13,1
379,01 30 28,1
380,31 30 01,1
381,31 28 11,1
382,01 30 31,1
383,26 01 04,1
384,28 01 12,1
385,26 01 07,1
386,10 10 14,1
387,21 25 00,1
388,18 04 01,1
389,18 04 00,1
390,23 26 17,1
391,21 24 30,1
392,27 24 09,1
393,27 31 12,1
394,18 08 01,1
395,18 01 08,1
396,10 01 21,1
397,10 01 20,1
398,00 05 25,1
399,18 05 12,1
400,12 08 29,1
401,21 30 10,1
402,07 31 18,1
403,31 21 31,1
404,18 05 09,1
405,21 25 24,1
406,10 05 21,1
407,07 31 19,1
408,18 05 15,1
409,18 13 05,1
410,31 27 04,1
411,20 08 12,1
412,20 12 01,1
413,21 25 26,1
414,26 06 21,1
415,23 24 20,1
416,21 29 07,1
417,25 26 31,1
418,21 09 06,0
419,21 27 04,0
420,21 27 11,0
421,21 09 07,0
422,21 09 08,0
423,21 09 15,0
424,21 11 31,0
425,21 26 16,0
426,21 26 12,0
427,21 26 13,0
428,21 11 30,0
429,21 11 24,0
430,21 09 16,0
431,21 09 05,0
432,21 27 10,0
433,21 11 26,0
434,21 27 09,0
435,21 27 06,0
436,21 11 29,0
437,21 11 25,0
438,21 09 09,0
439,21 27 08,0
440,21 09 14,0
441,21 09 10,0
442,21 09 13,0
443,21 11 28,0
444,21 11 27,0
445,21 09 11,0
446,21 09 12,0
447,21 27 07,0
448,21 27 05,0
449,21 26 15,0
450,21 26 14,0
451,21 26 22,0
452,21 12 00,0
453,21 08 21,0
454,21 12 05,0
455,21 08 25,0
456,21 27 20,0
457,21 08 23,0
458,21 08 22,0
459,21 12 06,0
460,21 27 21,0
461,21 27 22,0
462,21 12 07,0
463,21 27 23,0
464,21 09 04,0
465,21 26 09,0
466,21 08 20,0
467,21 08 19,0
468,21 12 08,0
469,21 12 09,0
470,21 08 18,0
471,21 27 24,0
472,21 26 08,0
473,21 08 17,0
474,21 27 19,0
475,21 27 18,0
476,21 27 17,0
477,21 08 27,0
478,21 12 01,0
479,21 26 11,0
480,21 27 03,0
481,21 09 03,0
482,21 26 10,0
483,21 27 12,0
484,21 27 13,0
485,21 09 02,0
486,21 09 01,0
487,21 09 00,0
488,21 27 14,0
489,21 12 02,0
490,21 12 03,0
491,21 08 30,0
492,21 27 15,0
493,21 12 04,0
494,21 27 16,0
495,21 08 29,0
496,21 08 28,0
497,21 11 23,0
498,21 09 21,0
499,21 26 17,0
500,21 10 17,0
501,21 10 23,0
502,21 10 22,0
503,21 10 21,0
504,21 10 20,0
505,21 11 11,0
506,21 10 19,0
507,21 11 12,0
508,21 10 18,0
509,21 26 27,0
510,21 10 24,0
511,21 10 16,0
512,21 26 28,0
513,21 10 15,0
514,21 10 14,0
515,21 10 13,0
516,21 10 12,0
517,21 11 13,0
518,21 10 11,0
519,21 26 26,0
520,21 10 25,0
521,21 09 17,0
522,21 11 03,0
523,21 11 08,0
524,21 11 07,0
525,21 11 06,0
526,21 26 21,0
527,21 26 23,0
528,21 11 05,0
529,21 11 04,0
530,21 26 24,0
531,21 11 02,0
532,21 10 26,0
533,21 11 01,0
534,21 11 00,0
535,21 10 31,0
536,21 10 30,0
537,21 10 29,0
538,21 10 28,0
539,21 11 10,0
540,21 10 27,0
541,21 26 20,0
542,21 10 10,0
543,21 10 09,0
544,21 26 18,0
545,21 09 27,0
546,21 26 31,0
547,21 27 00,0
548,21 09 26,0
549,21 09 25,0
550,21 27 01,0
551,21 11 20,0
